\ipa{tɤ-jme}  &	\ipa{ta-jmî}  &	\ipa{tɐ-lmeʔ}  &	\ipa{*lmej}  &	\zh{尾巴}  &	queue  &	\ipa{}  &	\zh{尾}  &	\ipa{*məjʔ}  &	\ipa{əj}  &	  \\	
\ipa{qaʁ}  &	\ipa{}  &	\ipa{kɐ-qɐ̂χ,qə́χ}  &	\ipa{*qaq}  &	\zh{剥皮}  &	enlever la peau  &	\ipa{}  &	\zh{革}  &	\ipa{*ˁkrək}  &	\ipa{ək}  &	1  \\	
\ipa{ɲaʁ}  &	\ipa{}  &	\ipa{kə-ɲɐ̂χ}  &	\ipa{*ɲaq}  &	\zh{黑色}  &	noir  &	\ipa{nag-po}  &	\zh{慝}  &	\ipa{*ˁhnək}  &	\ipa{ək}  &	  \\	
\ipa{qaljaʁ(qarɟaχ)}  &	\ipa{}  &	\ipa{ʁɐ-liɐ̂χ}  &	\ipa{*rljaq,lə-jaq}  &	\zh{雕}  &	aigle  &	\ipa{glag}  &	\zh{弋}  &	\ipa{*lək}  &	\ipa{ək}  &	  \\	
\ipa{taʁ}  &	\ipa{ka-ták}  &	\ipa{kɐ-tɐ̂χ,tɐ̂χ,tə́χ}  &	\ipa{*taq}  &	\zh{织}  &	tisser  &	\ipa{btags}  &	\zh{織}  &	\ipa{*tək}  &	\ipa{ək}  &	  \\	
\ipa{tamɢom}  &	\ipa{ta-mkám}  &	\ipa{}  &	\ipa{*mqam}  &	\zh{夹子}  &	tenaille  &	\ipa{}  &	\zh{頷}  &	\ipa{*ˁm-kəm-s}  &	\ipa{əm}  &	  \\	
\ipa{}  &	\ipa{tə-mgám}  &	\ipa{}  &	\ipa{*mgVm}  &	\zh{尸体}  &	corps  &	\ipa{}  &	\zh{躬}  &	\ipa{*kwəŋ}  &	\ipa{əm}  &	  \\	
\ipa{tɤ-mkɯm}  &	\ipa{ta-mkâm}  &	\ipa{tɐ-mkóm}  &	\ipa{*mkom}  &	\zh{枕头}  &	oreiller  &	\ipa{}  &	\zh{枕}  &	\ipa{*t-kəmʔ}  &	\ipa{əm}  &	  \\	
\ipa{ɴqiaβ}  &	\ipa{ta-ntɕáp}  &	\ipa{}  &	\ipa{*n-qjap}  &	\zh{山阴}  &	ubac  &	\ipa{}  &	\zh{陰}  &	\ipa{*ʔəm}  &	\ipa{əm}  &	  \\	
\ipa{χsɯm}  &	\ipa{kə-sâm}  &	\ipa{χsúm}  &	\ipa{*qsum}  &	\zh{三}  &	trois  &	\ipa{gsum}  &	\zh{三}  &	\ipa{*ˁsəm}  &	\ipa{əm}  &	  \\	
